period_start,period_end,pair_name,best_entry_time,best_entry_call_price,best_entry_put_price,best_entry_combined_price,minutes_to_end_at_entry,best_exit_time,best_exit_call_price,best_exit_put_price,best_exit_combined_price,minutes_to_end_at_exit,profit,profit_pct,holding_period_seconds
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+SOL_PUT,2025-12-18 14:00:08,0.61,0.4,1.01,14.86,2025-12-18 14:01:01,0.73,0.26,0.99,13.98,-0.02,-1.98,53
2025-12-18 14:00:00,2025-12-18 14:15:00,SOL_CALL+XRP_PUT,2025-12-18 14:01:57,0.85,0.11,0.96,13.04,2025-12-18 14:11:17,0.85,0.73,1.58,3.7,0.62,64.58,560
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+BTC_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:09:48,0.76,0.41,1.17,5.19,1.15,5750.0,587
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+ETH_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:00:26,0.63,0.52,1.15,14.56,1.13,5650.0,25
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+SOL_PUT,2025-12-18 14:00:01,0.01,0.01,0.02,14.98,2025-12-18 14:01:57,0.89,0.15,1.04,13.04,1.02,5100.0,116
2025-12-18 14:00:00,2025-12-18 14:15:00,XRP_CALL+XRP_PUT,2025-12-18 14:00:02,0.51,0.5,1.01,14.97,2025-12-18 14:00:10,0.6,0.39,0.99,14.83,-0.02,-1.98,8
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+BTC_PUT,2025-12-18 14:15:01,0.52,0.49,1.01,14.97,2025-12-18 14:15:02,0.5,0.49,0.99,14.95,-0.02,-1.98,1
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+ETH_PUT,2025-12-18 14:17:00,0.73,0.17,0.9,13.0,2025-12-18 14:25:21,0.96,0.02,0.98,4.64,0.08,8.89,501
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+SOL_PUT,2025-12-18 14:16:34,0.72,0.22,0.94,13.43,2025-12-18 14:23:03,0.94,0.11,1.05,6.95,0.11,11.7,389
2025-12-18 14:15:00,2025-12-18 14:30:00,BTC_CALL+XRP_PUT,2025-12-18 14:16:44,0.74,0.18,0.9199999999999999,13.26,2025-12-18 14:17:23,0.79,0.19,0.98,12.61,0.06,6.52,39
2025-12-18 14:15:00,2025-12-18 14:30:00,ETH_CALL+BTC_PUT,2025-12-18 14:15:08,0.62,0.38,1.0,14.85,2025-12-18 14:17:00,0.83,0.27,1.1,13.0,0.1,10.0,111
2025-12-18 14:15:00,2025-12-18 14:30:00,ETH_CALL+ETH_PUT,2025-12-18 14:15:01,0.52,0.49,1.01,14.97,2025-12-18 14:15:02,0.51,0.48,0.99,14.95,-0.02,-1.98,1
2025-12-18 14:15:00,2025-12-18 14:30:00,ETH_CALL+SOL_PUT,2025-12-18 14:15:08,0.62,0.4,1.02,14.85,2025-12-18 14:22:50,0.97,0.12,1.0899999999999999,7.16,0.07,6.86,461
2025-12-18 14:15:00,2025-12-18 14:30:00,ETH_CALL+XRP_PUT,2025-12-18 14:15:45,0.68,0.3,0.98,14.25,2025-12-18 14:16:37,0.81,0.23,1.04,13.38,0.06,6.12,52
2025-12-18 14:15:00,2025-12-18 14:30:00,SOL_CALL+BTC_PUT,2025-12-18 14:15:36,0.65,0.31,0.96,14.4,2025-12-18 14:16:19,0.74,0.32,1.06,13.68,0.1,10.42,43
2025-12-18 14:15:00,2025-12-18 14:30:00,SOL_CALL+ETH_PUT,2025-12-18 14:22:50,0.88,0.03,0.91,7.16,2025-12-18 14:25:18,0.96,0.02,0.98,4.69,0.07,7.69,148
2025-12-18 14:15:00,2025-12-18 14:30:00,SOL_CALL+SOL_PUT,2025-12-18 14:15:05,0.54,0.47,1.01,14.9,2025-12-18 14:16:34,0.78,0.21,0.99,13.43,-0.02,-1.98,88
2025-12-18 14:15:00,2025-12-18 14:30:00,SOL_CALL+XRP_PUT,2025-12-18 14:15:58,0.66,0.29,0.95,14.03,2025-12-18 14:16:34,0.78,0.23,1.01,13.43,0.06,6.32,36
2025-12-18 14:15:00,2025-12-18 14:30:00,XRP_CALL+BTC_PUT,2025-12-18 14:15:36,0.66,0.31,0.97,14.4,2025-12-18 14:16:19,0.76,0.32,1.08,13.68,0.11,11.34,43
2025-12-18 14:15:00,2025-12-18 14:30:00,XRP_CALL+ETH_PUT,2025-12-18 14:15:37,0.66,0.29,0.95,14.38,2025-12-18 14:15:45,0.7,0.32,1.02,14.25,0.07,7.37,8
2025-12-18 14:15:00,2025-12-18 14:30:00,XRP_CALL+SOL_PUT,2025-12-18 14:15:38,0.66,0.33,0.99,14.37,2025-12-18 14:15:58,0.71,0.34,1.05,14.03,0.06,6.06,20
2025-12-18 14:15:00,2025-12-18 14:30:00,XRP_CALL+XRP_PUT,2025-12-18 14:16:04,0.77,0.24,1.01,13.93,2025-12-18 14:16:05,0.76,0.23,0.99,13.91,-0.02,-1.98,1
2025-12-18 14:30:00,2025-12-18 14:45:00,BTC_CALL+BTC_PUT,2025-12-18 14:30:02,0.51,0.5,1.01,14.95,2025-12-18 14:30:04,0.42,0.57,0.99,14.92,-0.02,-1.98,2
2025-12-18 14:30:00,2025-12-18 14:45:00,BTC_CALL+ETH_PUT,2025-12-18 14:30:26,0.43,0.54,0.97,14.57,2025-12-18 14:33:59,0.4,0.74,1.1400000000000001,11.01,0.17,17.53,214
2025-12-18 14:30:00,2025-12-18 14:45:00,BTC_CALL+SOL_PUT,2025-12-18 14:32:55,0.57,0.31,0.8799999999999999,12.08,2025-12-18 14:35:05,0.49,0.62,1.1099999999999999,9.9,0.23,26.14,130
2025-12-18 14:30:00,2025-12-18 14:45:00,BTC_CALL+XRP_PUT,2025-12-18 14:30:07,0.42,0.51,0.9299999999999999,14.87,2025-12-18 14:35:05,0.49,0.75,1.24,9.9,0.31,33.33,298
2025-12-18 14:30:00,2025-12-18 14:45:00,ETH_CALL+BTC_PUT,2025-12-18 14:33:59,0.26,0.6,0.86,11.01,2025-12-18 14:37:04,0.22,0.83,1.05,7.93,0.19,22.09,184
2025-12-18 14:30:00,2025-12-18 14:45:00,ETH_CALL+ETH_PUT,2025-12-18 14:30:01,0.49,0.52,1.01,14.97,2025-12-18 14:37:14,0.17,0.83,1.0,7.77,-0.01,-0.99,432
2025-12-18 14:30:00,2025-12-18 14:45:00,ETH_CALL+SOL_PUT,2025-12-18 14:32:55,0.53,0.31,0.8400000000000001,12.08,2025-12-18 14:37:56,0.24,0.81,1.05,7.06,0.21,25.0,301
2025-12-18 14:30:00,2025-12-18 14:45:00,ETH_CALL+XRP_PUT,2025-12-18 14:30:04,0.4,0.51,0.91,14.92,2025-12-18 14:38:02,0.34,0.82,1.16,6.96,0.25,27.47,477
2025-12-18 14:30:00,2025-12-18 14:45:00,SOL_CALL+BTC_PUT,2025-12-18 14:32:02,0.61,0.31,0.9199999999999999,12.96,2025-12-18 14:32:55,0.69,0.43,1.1199999999999999,12.08,0.2,21.74,53
2025-12-18 14:30:00,2025-12-18 14:45:00,SOL_CALL+ETH_PUT,2025-12-18 14:30:54,0.66,0.33,0.99,14.1,2025-12-18 14:32:55,0.69,0.47,1.16,12.08,0.17,17.17,121
2025-12-18 14:30:00,2025-12-18 14:45:00,SOL_CALL+SOL_PUT,2025-12-18 14:30:01,0.51,0.5,1.01,14.97,2025-12-18 14:33:41,0.45,0.57,1.02,11.31,0.01,0.99,220
2025-12-18 14:30:00,2025-12-18 14:45:00,SOL_CALL+XRP_PUT,2025-12-18 14:30:04,0.5,0.51,1.01,14.92,2025-12-18 14:32:54,0.69,0.6,1.29,12.09,0.28,27.72,169
2025-12-18 14:30:00,2025-12-18 14:45:00,XRP_CALL+BTC_PUT,2025-12-18 14:35:04,0.29,0.48,0.77,9.92,2025-12-18 14:41:42,0.09,0.95,1.04,3.29,0.27,35.06,398
2025-12-18 14:30:00,2025-12-18 14:45:00,XRP_CALL+ETH_PUT,2025-12-18 14:33:01,0.43,0.42,0.85,11.98,2025-12-18 14:33:59,0.35,0.74,1.0899999999999999,11.01,0.24,28.24,58
2025-12-18 14:30:00,2025-12-18 14:45:00,XRP_CALL+SOL_PUT,2025-12-18 14:32:54,0.4,0.31,0.71,12.09,2025-12-18 14:41:40,0.09,0.93,1.02,3.32,0.31,43.66,526
2025-12-18 14:30:00,2025-12-18 14:45:00,XRP_CALL+XRP_PUT,2025-12-18 14:30:09,0.42,0.59,1.01,14.83,2025-12-18 14:30:20,0.49,0.5,0.99,14.65,-0.02,-1.98,11
2025-12-18 14:45:00,2025-12-18 15:00:00,BTC_CALL+BTC_PUT,2025-12-18 14:51:13,0.83,0.18,1.01,8.77,2025-12-18 14:51:14,0.82,0.17,0.99,8.75,-0.02,-1.98,1
2025-12-18 14:45:00,2025-12-18 15:00:00,BTC_CALL+ETH_PUT,2025-12-18 14:51:36,0.84,0.17,1.01,8.39,2025-12-18 14:52:03,0.83,0.22,1.05,7.94,0.04,3.96,27
2025-12-18 14:45:00,2025-12-18 15:00:00,BTC_CALL+SOL_PUT,2025-12-18 14:52:01,0.81,0.16,0.9700000000000001,7.97,2025-12-18 14:52:03,0.83,0.2,1.03,7.94,0.06,6.19,2
